no_hholds,decile,median_daily_dhw_vol,min_daily_dhw_vol,max_daily_dhw_vol,calibration_daily_dhw_vol,calibration_DHW_variance
505,1,31.245666844,16.232999958,39.457833002,57.8842740865285,3.74731311189499
360,2,46.104333008999994,39.457833002,52.053749509999996,81.2942934979176,5.71168810199557
330,3,57.44666672499999,52.053749509999996,63.268333330999994,98.5659310149134,7.16439646115579
304,4,68.22724999299999,63.268333330999994,74.14575133,113.561294319786,8.63289084585457
260,5,79.10933295999999,74.14575133,83.81683407999999,127.69457785824,11.0642603374963
253,6,90.39333443,83.81683407999999,95.56633226,141.149529987302,11.3512583905686
242,7,101.5524993,95.56633226,108.21883366,158.238679850575,13.3060000030078
221,8,116.16149936999999,108.21883366,125.43533330999999,178.147995266747,16.1796131845982
207,9,134.15733471,125.43533330999999,147.88316731999998,201.705441852368,17.1551517731825
185,10,162.86433289,147.88316731999998,181.71766745999997,241.019891970115,27.1986638325075
