Timestep,Primary Energy Factor kWh/kWh delivered,Emissions Factor kgCO2e/kWh,Emissions Factor kgCO2e/kWh including out-of-scope emissions
0,1.969103316,0.086185206,0.086185206
1,1.969103316,0.086185206,0.086185206
2,1.969103316,0.086185206,0.086185206
3,1.969103316,0.086185206,0.086185206
4,1.969103316,0.086185206,0.086185206
5,1.969103316,0.086185206,0.086185206
6,1.969103316,0.086185206,0.086185206
7,1.969103316,0.086185206,0.086185206
8,1.969103316,0.086185206,0.086185206
9,1.969103316,0.086185206,0.086185206
10,1.969103316,0.086185206,0.086185206
11,1.969103316,0.086185206,0.086185206
12,1.969103316,0.086185206,0.086185206
13,1.969103316,0.086185206,0.086185206
14,1.969103316,0.086185206,0.086185206
15,1.969103316,0.086185206,0.086185206
16,1.969103316,0.086185206,0.086185206
17,1.969103316,0.086185206,0.086185206
18,1.969103316,0.086185206,0.086185206
19,1.969103316,0.086185206,0.086185206
20,1.969103316,0.086185206,0.086185206
21,1.969103316,0.086185206,0.086185206
22,1.969103316,0.086185206,0.086185206
23,1.969103316,0.086185206,0.086185206
24,1.969103316,0.086185206,0.086185206
25,1.969103316,0.086185206,0.086185206
26,1.969103316,0.086185206,0.086185206
27,1.969103316,0.086185206,0.086185206
28,1.969103316,0.086185206,0.086185206
29,1.969103316,0.086185206,0.086185206
30,1.969103316,0.086185206,0.086185206
31,1.969103316,0.086185206,0.086185206
32,1.969103316,0.086185206,0.086185206
33,1.969103316,0.086185206,0.086185206
34,1.969103316,0.086185206,0.086185206
35,1.969103316,0.086185206,0.086185206
36,1.969103316,0.086185206,0.086185206
37,1.969103316,0.086185206,0.086185206
38,1.969103316,0.086185206,0.086185206
39,1.969103316,0.086185206,0.086185206
40,1.969103316,0.086185206,0.086185206
41,1.969103316,0.086185206,0.086185206
42,1.969103316,0.086185206,0.086185206
43,1.969103316,0.086185206,0.086185206
44,1.969103316,0.086185206,0.086185206
45,1.969103316,0.086185206,0.086185206
46,1.969103316,0.086185206,0.086185206
47,1.969103316,0.086185206,0.086185206
48,1.969103316,0.086185206,0.086185206
49,1.969103316,0.086185206,0.086185206
50,1.969103316,0.086185206,0.086185206
51,1.969103316,0.086185206,0.086185206
52,1.969103316,0.086185206,0.086185206
53,1.969103316,0.086185206,0.086185206
54,1.969103316,0.086185206,0.086185206
55,1.969103316,0.086185206,0.086185206
56,1.969103316,0.086185206,0.086185206
57,1.969103316,0.086185206,0.086185206
58,1.969103316,0.086185206,0.086185206
59,1.969103316,0.086185206,0.086185206
60,1.969103316,0.086185206,0.086185206
61,1.969103316,0.086185206,0.086185206
62,1.969103316,0.086185206,0.086185206
63,1.969103316,0.086185206,0.086185206
64,1.969103316,0.086185206,0.086185206
65,1.969103316,0.086185206,0.086185206
66,1.969103316,0.086185206,0.086185206
67,1.969103316,0.086185206,0.086185206
68,1.969103316,0.086185206,0.086185206
69,1.969103316,0.086185206,0.086185206
70,1.969103316,0.086185206,0.086185206
71,1.969103316,0.086185206,0.086185206
72,1.969103316,0.086185206,0.086185206
73,1.969103316,0.086185206,0.086185206
74,1.969103316,0.086185206,0.086185206
75,1.969103316,0.086185206,0.086185206
76,1.969103316,0.086185206,0.086185206
77,1.969103316,0.086185206,0.086185206
78,1.969103316,0.086185206,0.086185206
79,1.969103316,0.086185206,0.086185206
80,1.969103316,0.086185206,0.086185206
81,1.969103316,0.086185206,0.086185206
82,1.969103316,0.086185206,0.086185206
83,1.969103316,0.086185206,0.086185206
