event_count,decile,day_name,day_wk_mon1,simple_labels2_based_on_900k_sample,median_event_volume,mean_event_volume,median_dur,mean_dur
10.792,1,Monday,1,0_small_tap,2.202671284,2.359546752,25,25.62896825
1.295,1,Monday,1,1_long_tap,9.997257335,10.43690959,109,112.5129225
0.283,1,Monday,1,2_shower,29.6421423,32.41212355,329,339.2287105
0.092,1,Monday,1,3_bath,57.30055555,60.27558205,653,654.877095
0.056,1,Monday,1,3_bath_big,82.73468985,90.34305021,966,1087.371681
10.513,1,Tuesday,2,0_small_tap,2.219551635,2.372233193,25,25.65079365
1.236,1,Tuesday,2,1_long_tap,9.848824591,10.41826315,108,112.1686508
0.279,1,Tuesday,2,2_shower,28.92208332,31.24942688,325,333.1160494
0.09,1,Tuesday,2,3_bath,57.11966705,61.91562013,657,659.5229885
0.063,1,Tuesday,2,3_bath_big,85.40666771,92.62167861,996,1094.064815
10.086,1,Wednesday,3,0_small_tap,2.187620965,2.352745579,25,25.59722222
1.192,1,Wednesday,3,1_long_tap,9.998153145,10.46299106,109,112.5745527
0.28,1,Wednesday,3,2_shower,28.51904316,30.7303737,323,332.2506083
0.078,1,Wednesday,3,3_bath,57.32768504,60.40605817,646,652.4457143
0.06,1,Wednesday,3,3_bath_big,81.23555501,93.64032883,970,1093.543689
10.143,1,Thursday,4,0_small_tap,2.234384586,2.366842668,25,25.69246032
1.192,1,Thursday,4,1_long_tap,10.13352036,10.50850983,110,112.4681275
0.273,1,Thursday,4,2_shower,29.32313695,31.46361477,327,335.5927711
0.083,1,Thursday,4,3_bath,56.34166718,59.09628096,647,652.1604278
0.063,1,Thursday,4,3_bath_big,84.05065264,92.81756281,970,1071.519608
10.427,1,Friday,5,0_small_tap,2.193895721,2.357601016,25,25.64880952
1.216,1,Friday,5,1_long_tap,10.02466526,10.38542127,109,112.0436508
0.283,1,Friday,5,2_shower,28.95233358,31.17659189,329,338.5876543
0.091,1,Friday,5,3_bath,56.7538017,61.0167347,657,662.2055556
0.057,1,Friday,5,3_bath_big,84.61021042,92.15181124,957.5,1035.921569
10.734,1,Saturday,6,0_small_tap,2.177878644,2.345599929,25,25.51587302
1.276,1,Saturday,6,1_long_tap,10.10483518,10.39646519,109,111.9900596
0.277,1,Saturday,6,2_shower,29.50294136,31.10894423,327,335.2387707
0.079,1,Saturday,6,3_bath,58.24055735,60.84475926,651,655.4450262
0.06,1,Saturday,6,3_bath_big,84.64999898,90.20527076,976,1053.418803
11.295,1,Sunday,7,0_small_tap,2.198530656,2.351272881,25,25.61706349
1.368,1,Sunday,7,1_long_tap,10.10664114,10.42983441,109.5,112.2242063
0.301,1,Sunday,7,2_shower,28.8670682,31.10594455,330,336.0938967
0.096,1,Sunday,7,3_bath,55.88999939,60.71140809,653,652.0780488
0.089,1,Sunday,7,3_bath_big,84.18308372,90.33233628,970.5,1045.355769
15.147,2,Monday,1,0_small_tap,2.081435043,2.235163673,24,24.78551532
1.685,2,Monday,1,1_long_tap,10.27842103,10.57887336,113,114.2089136
0.448,2,Monday,1,2_shower,30.90679829,33.41497493,345,350.5770393
0.116,2,Monday,1,3_bath,59.09766617,62.55231563,645,648.1079812
0.067,2,Monday,1,3_bath_big,87.24041748,92.96275914,1000,1103.41129
14.762,2,Tuesday,2,0_small_tap,2.098526032,2.233869452,24,24.79108635
1.646,2,Tuesday,2,1_long_tap,10.20020834,10.57238915,113,114.5933148
0.455,2,Tuesday,2,2_shower,31.06618424,33.71699603,345,351.4084084
0.135,2,Tuesday,2,3_bath,61.27222061,64.36698432,653,654.2535885
0.067,2,Tuesday,2,3_bath_big,89.78125,100.0761036,1031.5,1121.951613
14.242,2,Wednesday,3,0_small_tap,2.089777776,2.238045801,24,24.79665738
1.606,2,Wednesday,3,1_long_tap,10.20913863,10.54578635,113,114.7437326
0.458,2,Wednesday,3,2_shower,30.88286129,33.96959024,348,351.4815951
0.134,2,Wednesday,3,3_bath,59.77068242,62.83947379,650,651.5539216
0.061,2,Wednesday,3,3_bath_big,83.77416611,91.01548945,979,1079.557971
