no_hholds,decile,median_daily_dhw_vol,min_daily_dhw_vol,max_daily_dhw_vol,calibration_daily_dhw_vol,calibration_DHW_variance
505,1,44.63666692,23.18999994,56.36833286,57.8842740865285,3.74731311189499
360,2,65.86333287,56.36833286,74.3624993,81.2942934979176,5.71168810199557
330,3,82.06666675,74.3624993,90.38333333,98.5659310149134,7.16439646115579
304,4,97.46749999,90.38333333,105.9225019,113.561294319786,8.63289084585457
260,5,113.0133328,105.9225019,119.7383344,127.69457785824,11.0642603374963
253,6,129.1333349,119.7383344,136.5233318,141.149529987302,11.3512583905686
242,7,145.074999,136.5233318,154.5983338,158.238679850575,13.3060000030078
221,8,165.9449991,154.5983338,179.1933333,178.147995266747,16.1796131845982
207,9,191.6533353,179.1933333,211.2616676,201.705441852368,17.1551517731825
185,10,232.6633327,211.2616676,259.5966678,241.019891970115,27.1986638325075

